file,norm,fold,epoch,avg_epoch_time,train_acc,test_acc,dataset,model,declared_epochs,norm_type_header,exp
bn_0.txt,bn,0,1,0.2787,0.5994,0.5893,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,2,0.2489,0.6613,0.6518,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,3,0.2375,0.5504,0.5625,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,4,0.2329,0.6464,0.6429,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,5,0.2302,0.6124,0.6071,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,6,0.2287,0.6743,0.6161,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,7,0.2276,0.6044,0.6161,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,8,0.227,0.6593,0.6696,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,9,0.2261,0.5974,0.5982,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,10,0.2254,0.6244,0.625,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,11,0.2252,0.6733,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,12,0.225,0.6434,0.6429,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,13,0.2247,0.6693,0.6429,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,14,0.2245,0.7003,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,15,0.2242,0.7363,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,16,0.2239,0.6983,0.6786,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,17,0.2239,0.6843,0.6786,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,18,0.2234,0.7502,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,19,0.2232,0.7233,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,20,0.223,0.7343,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,21,0.2228,0.7522,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,22,0.2226,0.7343,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,23,0.2225,0.7243,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,24,0.2223,0.6523,0.6339,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,25,0.2222,0.7333,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,26,0.2221,0.7493,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,27,0.2219,0.7003,0.7321,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,28,0.2218,0.7502,0.7232,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,29,0.2216,0.7542,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
